city,country,name,latitude,longitude,slots
Turku,FI,Asesepänkatu,60.441012,22.2565895,8
Turku,FI,Runosmäki Signalistinkatu,60.4857766,22.2683215,8
Turku,FI,Sale Kupittaanpuisto,60.4480014,22.2886024,3
Turku,FI,Sairashuoneenkatu,60.4489608,22.2463542,6
Turku,FI,Citymarket Länsikeskus,60.4726128,22.2331048,10
Turku,FI,Ikituuri,60.4610987,22.2862437,50
Turku,FI,Pryssinkuja,60.4718548,22.2217722,8
Turku,FI,Puropellonpolku,60.4404091,22.2715258,8
Turku,FI,K-Supermarket Nummenpakka,60.457509,22.3082867,8
Turku,FI,Nokiankatu,60.4372612,22.2517622,3
Turku,FI,Runosmäki  Pohjoiskaari,60.4832271,22.272836,8
Turku,FI,Luolavuoren frisbeegolf,60.4285731,22.2884639,5
Turku,FI,Rautatientori,60.4532626,22.2533649,8
Turku,FI,Turun Caribia,60.4602396,22.2887898,20
Turku,FI,Kaupungintalo,60.4494001,22.2680492,20
Turku,FI,Lauklähteenkatu,60.4217771,22.2865716,5
Turku,FI,Turun AMK,60.4494337,22.2947026,20
Turku,FI,Sale Laivurinkatu,60.4383518,22.2460303,3
Turku,FI,Vanha Tampereentie,60.472543,22.2877432,5
Turku,FI,Hurttivuori,60.4421473,22.3423201,8
Turku,FI,Kerttuli,60.4488564,22.2868648,5
Turku,FI,Jyrkkälä,60.4595566,22.1983286,16
Turku,FI,Tuureporinkatu,60.4546088,22.2645611,12
Turku,FI,Yo-kylä 44-48,60.4641088,22.2981758,8
Turku,FI,Bratislavankatu / Isotalonkatu,60.4613253,22.2251792,6
Turku,FI,Turun Kutteri,60.434088,22.2344187,12
Turku,FI,Kätilöpolku,60.4516064,22.2933979,40
Turku,FI,Assari,60.4538963,22.2873736,30
Turku,FI,Puolalankatu,60.4525341,22.26184,20
Turku,FI,Ursininkatu,60.4463908,22.2593708,16
Turku,FI,Rauhankatu,60.4505506,22.2517094,4
Turku,FI,Malminkatu,60.442365,22.2400497,6
Turku,FI,Yo-kylä 13,60.4637327,22.2902452,8
Turku,FI,eCargo bikes: Skanssi,60.4295521,22.3220651,4
Turku,FI,Ilpoinen,60.4224321,22.2842143,5
Turku,FI,Kustavintie / Kaitaistentie,60.4681891,22.2226859,8
Turku,FI,Sale Martti,60.440779,22.2658579,6
Turku,FI,Kirkkotie,60.4580167,22.2926972,20
Turku,FI,Trampolin park,60.475316,22.2830877,8
Turku,FI,Lonttinen,60.4589127,22.2744768,10
Turku,FI,Kiinamyllynkatu,60.4535403,22.2866745,25
Turku,FI,Boost,60.4307775,22.2460223,5
Turku,FI,Ispoisten puistotie,60.4319644,22.2661114,6
Turku,FI,Linja-autoasema,60.4573291,22.2685796,40
Turku,FI,Pansio,60.4496069,22.1675412,8
Turku,FI,Luolavuoren tenniskenttä,60.4312212,22.280856,5
Turku,FI,Pharmacity,60.4491759,22.2921065,25
Turku,FI,K-Market Perno,60.45228,22.1606641,4
Turku,FI,Leaf Areena,60.4867811,22.2887619,8
Turku,FI,Kuohukuja,60.4672166,22.3066902,13
Turku,FI,Kurjenkaivonkenttä,60.4515382,22.2890536,10
Turku,FI,Vitkalankatu,60.448443,22.207086,3
Turku,FI,Patterinhaka,60.4458177,22.2267588,10
Turku,FI,Katariinanlaakso,60.413296,22.2696915,6
Turku,FI,Akatemiatalo,60.4510956,22.2791829,30
Turku,FI,Skanssinkatu,60.4300413,22.3195309,20
Turku,FI,eCargo bikes: Kupittaa,60.4505805,22.2947205,4
Turku,FI,Hämähäkkitontti,60.4463541,22.2651592,20
Turku,FI,Ramstedtinkatu ,60.4629101,22.2787,14
Turku,FI,Puutori,60.4546684,22.2686566,20
Turku,FI,eCargo bikes: Föri,60.4415606,22.2474311,4
Turku,FI,Brahenkatu / Eerikinkatu,60.452086,22.2714496,20
Turku,FI,Humalistonkatu 1,60.4490394,22.2617502,8
Turku,FI,Halisten koulu,60.471183,22.3150473,6
Turku,FI,Uittamo,60.4213025,22.2635863,10
Turku,FI,Friskala,60.3979984,22.2310881,5
Turku,FI,Raadinkatu,60.4332935,22.3545212,10
Turku,FI,Yo-kylä 24-28,60.4642606,22.2940543,10
Turku,FI,Kirjastosilta,60.4495967,22.2714027,15
Turku,FI,Sale Kaskenkatu,60.4457232,22.2734523,6
Turku,FI,Naantalin aurinkoinen,60.4523677,22.2564068,10
Turku,FI,Itäinen Rantakatu,60.4477104,22.2681038,10
Turku,FI,Annankatu,60.4442086,22.2402485,5
Turku,FI,Kirkkotie YTHS,60.4568295,22.2925783,10
Turku,FI,Kupittaa,60.4508082,22.2960616,20
Turku,FI,Paavinkatu,60.4705085,22.3249641,8
Turku,FI,Haarla,60.3944436,22.2224925,11
Turku,FI,Mäntymäenaukio,60.4385695,22.2652346,4
Turku,FI,Leipäläntie,60.4690371,22.2671618,5
Turku,FI,S-Market Majakkaranta,60.4298381,22.2397104,8
Turku,FI,Ruissalon Saaronniemi,60.422424,22.0951554,25
Turku,FI,Kauppakorkeakoulu,60.4549145,22.2884917,20
Turku,FI,Auranhelmi,60.4404481,22.2443646,15
Turku,FI,Kävelykatu länsi,60.4503029,22.2610145,12
Turku,FI,Kirstinpuisto,60.449086199999996,22.2369527,15
Turku,FI,Vesibussi,60.4433794,22.253913,15
Turku,FI,Talpiankuja,60.4507284,22.3565227,8
Turku,FI,Kaakelitehdas,60.4571084,22.2365246,10
Turku,FI,Kristiinankatu,60.4480771,22.2660458,25
Turku,FI,Liikuntakeskus Alfa,60.4653384,22.2829965,10
Turku,FI,Ispoinen,60.427216,22.2686891,10
Turku,FI,Luolavuori,60.4317012,22.2857206,5
Turku,FI,savitehtaankatu,60.4516432,22.297521,10
Turku,FI,Kupittaan urheiluhalli,60.4462399,22.2932631,8
Turku,FI,Sport Sirkka,60.4477536,22.2823295,3
Turku,FI,Kaasukello,60.4364546,22.2453578,8
Turku,FI,Haliskylä,60.468963,22.3077165,8
Turku,FI,Lenkkipolku,60.4485093,22.2923332,8
Turku,FI,Käsityöläiskatu,60.4484071,22.2593841,6
Turku,FI,Otavanaukio,60.4500129,22.2296303,6
Turku,FI,Lausteen frisbeegolfpuisto,60.4288866,22.3460619,8
Turku,FI,Port Arthur,60.4464851,22.2435433,20
Turku,FI,Askaistentie,60.4374266,22.2594514,7
Turku,FI,Krööpilänkatu,60.4465318,22.3603542,12
Turku,FI,T-talo,60.4555104,22.3053856,15
Turku,FI,Rajupaja Areena,60.4426254,22.2884669,15
Turku,FI,Urheilupuisto,60.4415705,22.259611,10
Turku,FI,Varvintori,60.4389488,22.2417827,25
Turku,FI,Lylynpuisto,60.4354815,22.275022,8
Turku,FI,Aurumin pyöräparkki,60.4542162,22.2832417,8
Turku,FI,S-market Pansio,60.4527926,22.156061,8
Turku,FI,Kuninkoja center,60.4917264,22.2212136,7
Turku,FI,Suurtori,60.4509304,22.2761904,40
Turku,FI,Iso-Heikkilä,60.4513173,22.2300739,8
Turku,FI,Toivolankatu,60.4376844,22.2677286,6
Turku,FI,Laureuksenkatu,60.4895691,22.2437293,3
Turku,FI,Nuijamaankatu,60.470405,22.2361444,15
Turku,FI,Yliopistonkatu länsi,60.4481207,22.2540359,3
Turku,FI,Stålarminkatu,60.4387745,22.2563723,20
Turku,FI,Kauppahalli,60.4501595,22.2657382,8
Turku,FI,Sepänkatu,60.4426967,22.2715508,8
Turku,FI,Kävelykatu Itä,60.4509919,22.2629893,16
Turku,FI,Unioninkatu,60.4336438,22.2411061,5
Turku,FI,Vähätori,60.4510958,22.2729404,40
Turku,FI,Kivikartiontie,60.4358893,22.2932654,16
Turku,FI,Q-talo,60.4600009,22.2981196,20
Turku,FI,Mylly Prisman pääty,60.4912293,22.2037895,10
Turku,FI,Prisma tavarapyöräpysäkki,60.4455813,22.3239934,4
Turku,FI,Föri,60.4415887,22.2474112,30
Turku,FI,Oskarinkuja,60.4634574,22.269896,6
Turku,FI,Koivula,60.4179283,22.3007598,8
Turku,FI,Ratavahdinrinne,60.4443001,22.23659,8
Turku,FI,Samppis,60.4450647,22.2648735,10
Turku,FI,Linnanmalmi,60.4388333,22.236256,10
Turku,FI,Hamaronkatu,60.4759684,22.3062225,12
Turku,FI,Yo-kylä 62-64,60.4624938,22.3013666,8
Turku,FI,Rakuunatie,60.4360939,22.3024989,6
Turku,FI,Lönnrothinpuisto,60.4531612,22.2741285,25
Turku,FI,Eskonkatu,60.4814733,22.2466531,4
Turku,FI,Petreliuksenpolku,60.4296505,22.2948835,8
Turku,FI,Rustholli,60.4181145,22.2644157,8
Turku,FI,Yliopistonkatu 30,60.4494107,22.2584685,3
Turku,FI,Calonia,60.4568824,22.2856822,45
Turku,FI,Koskenniemenkatu,60.4529637,22.2811926,12
Turku,FI,Porthaninkatu,60.4538963,22.2808656,12
Turku,FI,Jarkko Haavion polku,60.4739872,22.3050745,6
Turku,FI,Kävelykatu,60.4506232,22.2624569,20
Turku,FI,Rautalankatu,60.4858648,22.233405,8
Turku,FI,Uudenmaantulli,60.4464348,22.2840595,25
Turku,FI,Kasvitieteellinen puutarha,60.4333241,22.1755304,10
Turku,FI,Turun AMK 2,60.448696,22.2967089,20
Turku,FI,Hepokulta,60.4733676,22.2496104,8
Turku,FI,Hirvensalo Kakskerrantie,60.4182092,22.229911,8
Turku,FI,K-Supermarket Föri,60.4402318,22.2484634,8
Turku,FI,S-market Halinen,60.470072,22.3057786,6
Turku,FI,Puutarhakatu,60.4512486,22.2575887,14
Turku,FI,Hirvensalo Moikoinen,60.4116386,22.2355456,10
Turku,FI,Annanpuisto,60.4468478,22.239243600000002,8
Turku,FI,Hansakatu,60.4420482,22.237924,8
Turku,FI,Kalevanpuisto,60.4505537,22.3091826,10
Turku,FI,ASA-Huset,60.4559366,22.2821704,10
Turku,FI,Purserinpuisto,60.4380762,22.2437063,14
Turku,FI,Daniel Hjortin katu,60.4360532,22.2482898,5
Turku,FI,eCargo bikes: Linja-autoasema,60.4572304,22.2685931,4
Turku,FI,Uraputki,60.4595887,22.2881082,20
Turku,FI,Paalupaikka,60.4664294,22.2475919,4
Turku,FI,Joukahaisenkatu,60.4495126,22.2956887,12
Turku,FI,Ratakatu / Tukholmankatu,60.4493627,22.2431651,8
Turku,FI,Ruissalon Kansanpuisto,60.4272298,22.184642,12
Turku,FI,Ruissalon telakka,60.4375713,22.2024341,10
Turku,FI,Täkkiaukio,60.4286732,22.2339126,5
Turku,FI,Turun AKK,60.4583309,22.1784028,8
Turku,FI,Kukolantie,60.4088583,22.221586,8
Turku,FI,Piispankatu,60.4564251,22.2801175,35
Turku,FI,Sofiankatu,60.4460426,22.2455018,6
Turku,FI,T-sairaala,60.4550184,22.2975243,20
Turku,FI,Verkahovi ,60.4578976,22.2722278,10
Turku,FI,Ispoisten uimaranta,60.4147645,22.2607054,15
Turku,FI,Varissuo,60.4432978,22.3626756,12
Turku,FI,Kupittaan pesäpallostadion,60.4473198,22.2962501,10
Turku,FI,Tapulikatu,60.4386861,22.2515509,5
Turku,FI,Kreulankuja,60.4672992,22.3120653,3
Turku,FI,Prisma Tampereentie ,60.4738782,22.2865381,12
Turku,FI,Kärsämäentie,60.4781012,22.2848181,5
Turku,FI,Yo-kylä 82-84,60.4609008,22.2981711,8
Turku,FI,K-market Hanski,60.4588339,22.3223871,6
Turku,FI,Pääkirjasto,60.4503024,22.2705702,25
Turku,FI,Kurjenmäenkatu,60.4395461,22.2839467,4
Turku,FI,Pääskysilta,60.4515481,22.3352674,10
Turku,FI,Sairashuoneenpuisto,60.4442444,22.2524026,20
Turku,FI,Karhunaukio,60.4308268,22.3362253,8
Turku,FI,Kupittaankatu,60.443378,22.2765141,8
Turku,FI,Vähä Hämeenkatu,60.4516108,22.2858212,4
Turku,FI,Koulu,60.4496953,22.2641104,10
Turku,FI,Rauninaukio,60.4627935,22.2634874,10
Turku,FI,ABC Koulukatu,60.4544378,22.2463791,10
Turku,FI,eCargo bikes: Yo-kylä,60.460982,22.2861461,5
Turku,FI,Hippoksentie,60.4430797,22.2984177,6
Turku,FI,Tyyssija,60.4625973,22.28813,20
Turku,FI,Auriga,60.4396995,22.2274966,15
Turku,FI,Kylänalustanpuisto,60.4608463,22.2465707,4
Turku,FI,Jaanintie,60.4510918,22.3296428,10
Turku,FI,Puistokatu,60.4481579,22.2500941,16
Turku,FI,Seikkailupuisto,60.4471981,22.2886919,6
Turku,FI,Mullintie,60.4712725,22.2730749,8
Turku,FI,Nuutintie,60.4506271,22.2363093,8
Turku,FI,Satama,60.4350687,22.2233336,20
Turku,FI,Auringonnousu,60.4135608,22.3080625,7
Turku,FI,Nahkurinpiha,60.4559797,22.27537,8
Turku,FI,Forum Marinum,60.4369299,22.2369289,20
Turku,FI,Impivaaran uimahalli,60.4779378,22.2603312,12
Turku,FI,Halistenkoski,60.4652564,22.3066694,6
Turku,FI,Prisma Itäharju,60.4456908,22.3235686,8
Turku,FI,Tavasti,60.4558148,22.3013425,12
Turku,FI,Kupittaan palloiluhalli,60.4461602,22.3003524,6
Turku,FI,Turun linna,60.4359031,22.2304077,30
Turku,FI,Kåren,60.4496769,22.2759765,6
Turku,FI,Kivikartiontie B,60.4377613,22.2872011,10
Turku,FI,Lemminkäisenkatu,60.4463931,22.2992561,20
Turku,FI,Ekvallan uimaranta,60.3797277,22.2258189,5
Turku,FI,Marina,60.4468271,22.2617171,20
Turku,FI,Vuorensyrjänkatu,60.4756893,22.307733,12
Turku,FI,Kauppiaskatu,60.4526712,22.2671211,15
Turku,FI,Impivaaran jalkapallohalli,60.4779948,22.2524177,8
Turku,FI,Klyyvari,60.4281772,22.2383185,4
Turku,FI,Mantun grilli,60.4476969,22.270383,15
Turku,FI,Multavierunkatu,60.4546486,22.2741024,5
Turku,FI,Runosmäki center,60.4889396,22.2610209,8
Turku,FI,Portti,60.4520827,22.2822777,8
Turku,FI,Varissuon terveysasema,60.442683099999996,22.3605353,6
Turku,FI,Tykistökatu,60.4503126,22.2941139,40
Turku,FI,Henrikinkatu,60.4546991,22.2817708,6
Turku,FI,Educarium,60.4580762,22.2861068,35
Turku,FI,Kauppatori,60.4517292,22.2683004,30
Turku,FI,Mälikkälä,60.4718918,22.213915,8
Turku,FI,Pansiontie,60.4458755,22.1902997,6
Turku,FI,Jarkko Laineen puistikko,60.4391582,22.2605418,8
Turku,FI,ParkCity,60.4491186,22.2974272,5
Turku,FI,Mylly Länsipääty,60.4897837,22.197815,10
Turku,FI,Suikkila,60.4631376,22.2176428,5
Turku,FI,Parkin kenttä,60.4570501,22.271318,3
Turku,FI,Kaupunginsairaala,60.4402143,22.2755189,5
Turku,FI,Sale Petrelius,60.4304781,22.2935802,6
Turku,FI,Raunistulanportti,60.459961,22.2655089,16
Turku,FI,Haartmaninkatu,60.4858236,22.2376249,5
Turku,FI,Prisma Länsikeskus,60.4739496,22.2268056,10
Turku,FI,Brahenkatu / Yliopistonkatu,60.4533114,22.2698839,24
Turku,FI,Prisma Itäharju 2,60.4466734,22.3215573,4
Turku,FI,eCargo bikes: Kauppatori,60.4517639,22.2682669,4
Turku,FI,Linnankatu,60.4510608,22.2715937,8
Turku,FI,Yo-kylä 15-16,60.4633348,22.2966164,8
Turku,FI,Logomonsilta,60.4555289,22.2589904,20
Turku,FI,Kirjurinaukio,60.4336901,22.3467429,12
Turku,FI,Neitsytpolku,60.4428549,22.2683829,10
Turku,FI,Teräsrautela,60.477176,22.2358504,5
Turku,FI,Mikonkatu,60.4466009,22.2497267,5
Turku,FI,Nosturinkatu,60.4440464,22.2325328,15
Turku,FI,Kaivokatu,60.4524047,22.2843581,10
Turku,FI,Biolinja,60.4311445,22.3287966,3
Turku,FI,Logomo,60.4570242,22.2598486,20
Turku,FI,Kaskentie,60.4422129,22.279277,4
